Year,Month,EFPG_code,Number_stores,Price_index_GEKS,Purchase_dollars_unwtd,Purchase_dollars_wtd,Purchase_grams_unwtd,Purchase_grams_wtd,Unit_value_mean_unwtd,Unit_value_mean_wtd,Unit_value_se_wtd
2012,2,73020,8450.466667,1.037840752,228990748.7,396400200.9,18479462688,30174846183,1.276303219,1.31362769,0.01516604
2012,2,73030,8447.133333,0.964705669,186623886.1,315307439.4,23097936046,37951042160,0.827250422,0.856104073,0.006451619
2012,2,73040,7079.4,1.068985048,16718440.07,25821772.1,4180390388,6415318264,0.404050133,0.404538398,0.002821199
2012,2,73050,8284.666667,0.997381044,71471914.26,118339445.3,19306785949,30636928737,0.373960646,0.39481244,0.003844199
2012,2,73060,7881.733333,0.987364325,12253735.83,18709567.59,2640381372,3917662208,0.472775737,0.488059643,0.007929941
2012,2,74000,8134.666667,1.007024459,59864921.85,88821880.87,8610941493,12639760764,0.699223416,0.701296536,0.004627087
2012,2,74050,8124.933333,1.008487543,30398822.71,45707789.04,4442835569,6520532458,0.696316596,0.706828062,0.003698848
2012,2,75000,8445.266667,0.988120893,31591154.57,52055214.25,3693618293,5864939242,0.87906052,0.896665675,0.00645748
2012,2,75050,8448.2,0.968375202,161711257,288419754.7,17736935303,29874597386,0.922706568,0.962827337,0.005916154
2012,2,76000,7581.466667,0.94549977,11111937.49,20639574.13,1311794242,2468255463,0.8526664,0.856661523,0.014766181
2012,2,77000,5948.466667,0.961770575,13822501.99,19283366.11,1851918668,2607362199,0.754562994,0.749415667,0.005821525
2012,2,78000,6982.2,0.880711015,35829371.68,53387557.84,1461717835,2133444566,2.370519902,2.418003513,0.029949118
2012,3,10000,6236.4,0.961059321,23995199.16,34529063.49,4662029124,6649476134,0.510680984,0.51639834,0.002556286
2012,3,10025,4264.266667,1.022907444,3870357.812,5171489.279,728494003.5,967537976.9,0.532425104,0.537621675,0.004079826
2012,3,10050,6680.2,0.978752973,4699116.462,6789730.961,1123978409,1636011751,0.415432563,0.406979866,0.007081966
2012,3,10075,2736.533333,0.950247178,512686.9094,685979.1935,247078579.2,325193413.2,0.207127588,0.212791796,0.002296727
2012,3,15000,8001.6,0.971040491,120053945.3,179218998.2,26731822806,39966228744,0.443991176,0.451623027,0.004700442
2012,3,15025,7045.733333,1.017349113,23409744.55,34377764.22,8117939425,12102129847,0.284591018,0.274441924,0.007622689
2012,3,15050,3999,0.97240693,730357.8321,1106344.633,284927774,431725969.7,0.317398403,0.317086495,0.008603418
2012,3,15075,7390.066667,0.992758665,21523573.02,32142454.3,7547250503,11164781874,0.288708965,0.289257596,0.003920538
2012,3,20000,2767.6,1.061306391,22529957.65,32808883.34,15981818294,23778429866,0.144401684,0.144313532,0.001338454
2012,3,20075,3516.733333,1.092194253,309306.3111,490642.8985,141388720.7,222420755.1,0.224252987,0.22762432,0.003731099
2012,3,21500,3420.4,1.356933564,2332919.173,2962406.129,1056635514,1302782671,0.219908163,0.224900438,0.009006592
